'ICD-9-CM CODE','CATEGORY ASSIGNMENT'
'0001',2
'0002',2
'0003',2
'0009',2
'0010',2
'0011',2
'0012',2
'0013',2
'0014',2
'0015',2
'0016',2
'0017',2
'0018',2
'0019',2
'0021',1
'0022',1
'0023',1
'0024',1
'0025',1
'0028',1
'0029',1
'0031',1
'0032',1
'0033',1
'0034',1
'0035',1
'0039',1
'0040',2
'0041',2
'0042',2
'0043',2
'0044',2
'0045',2
'0046',2
'0047',2
'0048',2
'0049',2
'0050',4
'0051',4
'0052',4
'0053',4
'0054',4
'0055',2
'0056',4
'0057',4
'0058',1
'0059',1
'0060',2
'0061',4
'0062',4
'0063',2
'0064',2
'0065',2
'0066',4
'0067',1
'0068',1
'0069',1
'0070',4
'0071',4
'0072',4
'0073',4
'0074',2
'0075',2
'0076',2
'0077',2
'0080',4
'0081',4
'0082',4
'0083',4
'0084',4
'0085',4
'0086',4
'0087',4
'0091',2
'0092',2
'0093',2
'0094',1
'0095',2
'0096',2
'0101',2
'0102',2
'0109',2
'0110',1
'0111',1
'0112',3
'0113',1
'0114',3
'0115',3
'0116',1
'0117',1
'0118',3
'0119',3
'0120',4
'0121',4
'0122',4
'0123',4
'0124',4
'0125',4
'0126',2
'0127',2
'0128',4
'0129',4
'0131',4
'0132',4
'0139',4
'0141',4
'0142',4
'0151',4
'0152',4
'0153',4
'0159',4
'016 ',4
'0201',4
'0202',4
'0203',4
'0204',4
'0205',4
'0206',4
'0207',4
'0211',4
'0212',4
'0213',4
'0214',4
'022 ',4
'0221',4
'0222',4
'0231',4
'0232',4
'0233',4
'0234',4
'0235',4
'0239',4
'0241',2
'0242',4
'0243',4
'0291',4
'0292',4
'0293',4
'0294',4
'0295',2
'0296',2
'0299',4
'0301',4
'0302',4
'0309',4
'031 ',4
'0321',4
'0329',4
'0331',1
'0332',3
'0339',3
'034 ',4
'0351',4
'0352',4
'0353',4
'0359',4
'036 ',4
'0371',4
'0372',4
'0379',4
'038 ',2
'0390',2
'0391',2
'0392',2
'0393',4
'0394',4
'0395',2
'0396',2
'0397',4
'0398',4
'0399',4
'0401',4
'0402',4
'0403',4
'0404',4
'0405',4
'0406',4
'0407',4
'0411',1
'0412',3
'0419',3
'042 ',2
'043 ',4
'0441',4
'0442',4
'0443',4
'0444',4
'0449',4
'045 ',4
'046 ',4
'0471',4
'0472',4
'0473',4
'0474',4
'0475',4
'0476',4
'0479',4
'0480',2
'0481',2
'0489',2
'0491',4
'0492',4
'0493',4
'0499',4
'050 ',4
'0511',3
'0519',3
'0521',4
'0522',4
'0523',4
'0524',4
'0525',4
'0529',4
'0531',2
'0532',2
'0539',2
'0581',4
'0589',4
'059 ',4
'0601',2
'0602',4
'0609',4
'0611',1
'0612',3
'0613',3
'0619',3
'062 ',4
'0631',4
'0639',4
'064 ',4
'0650',4
'0651',4
'0652',4
'066 ',4
'067 ',4
'0681',4
'0689',4
'0691',4
'0692',4
'0693',4
'0694',4
'0695',4
'0698',4
'0699',4
'0700',4
'0701',4
'0702',4
'0711',1
'0712',3
'0713',3
'0714',3
'0715',3
'0716',3
'0717',3
'0719',3
'0721',4
'0722',4
'0729',4
'073 ',4
'0741',4
'0742',4
'0743',4
'0744',4
'0745',4
'0749',4
